Word,Valence,ValenceCategory,Arousal,ArousalCategory,CategoryIndex
aardvark,0.31499999999999995,M,-0.6475,L,3
abalone,0.07499999999999996,L,-0.5875,L,0
abandon,-0.54,L,-0.3175,M,1
abandonment,-0.5925,L,-0.012499999999999956,H,2
abbey,0.2124999999999999,M,-0.7,L,3
abdomen,0.10749999999999993,L,-0.32999999999999996,M,1
abdominal,-0.1299999999999999,L,-0.375,L,0
abduct,-0.645,L,0.2250000000000001,H,2
abduction,-0.7375,L,0.08250000000000002,H,2
abide,0.1299999999999999,M,-0.43500000000000005,L,3
abiding,0.14250000000000007,M,-0.35250000000000004,L,3
ability,0.5,H,-0.03750000000000009,H,8
abject,-0.25,L,-0.265,M,1
ablaze,0.03750000000000009,L,0.4375,H,2
able,0.4099999999999999,H,-0.405,L,6
abnormal,-0.36750000000000005,L,-0.1299999999999999,H,2
abnormality,-0.48750000000000004,L,0.0,H,2
abode,0.07000000000000006,L,-0.525,L,0
abolish,-0.29000000000000004,L,-0.20500000000000007,M,1
abominable,-0.23750000000000004,L,0.11250000000000004,H,2
abomination,-0.625,L,0.2250000000000001,H,2
abort,-0.475,L,0.19999999999999996,H,2
abortion,-0.605,L,0.10749999999999993,H,2
abracadabra,0.02750000000000008,L,0.0674999999999999,H,2
abrasive,-0.18500000000000005,L,0.2749999999999999,H,2
abreast,-0.09499999999999997,L,-0.09749999999999992,H,2
abrupt,-0.43000000000000005,L,0.05750000000000011,H,2
abscess,-0.5525,L,-0.25,M,1
absence,-0.28500000000000003,L,-0.17500000000000004,M,1
absent,-0.2250000000000001,L,-0.31999999999999995,M,1
absinthe,-0.36750000000000005,L,-0.32499999999999996,M,1
absolute,0.10749999999999993,L,-0.38,L,0
absolution,0.395,H,-0.405,L,6
absolve,-0.10499999999999998,L,-0.36750000000000005,L,0
absorb,0.125,M,-0.1825000000000001,M,4
abstain,-0.1499999999999999,L,-0.475,L,0
abstinence,-0.39249999999999996,L,-0.4625,L,0
abstract,0.0625,L,-0.26,M,1
absurd,-0.13749999999999996,L,-0.2450000000000001,M,1
absurdity,-0.2350000000000001,L,-0.07499999999999996,H,2
abundance,0.4175,H,-0.07000000000000006,H,8
abundant,0.6375,H,-0.1975,M,7
abuse,-0.8674999999999999,L,0.3025,H,2
abusive,-0.7375,L,0.0674999999999999,H,2
abysmal,-0.38749999999999996,L,-0.27249999999999996,M,1
abyss,-0.275,L,-0.03750000000000009,H,2
academic,0.4025000000000001,H,-0.42000000000000004,L,6
academy,0.08000000000000007,L,-0.3075,M,1
accelerant,-0.10250000000000004,L,-0.0475000000000001,H,2
accelerate,0.2749999999999999,M,0.26,H,5
accelerated,0.3025,M,-0.0625,H,5
acceleration,0.2975000000000001,M,0.4325000000000001,H,5
accelerator,0.15749999999999997,M,0.0,H,5
accent,0.3700000000000001,H,-0.012499999999999956,H,8
accept,0.3474999999999999,H,-0.55,L,6
acceptable,0.39749999999999996,H,-0.3375,L,6
acceptance,0.45999999999999996,H,-0.17500000000000004,M,7
access,0.41999999999999993,H,0.07499999999999996,H,8
accessible,0.41999999999999993,H,-0.44999999999999996,L,6
accessory,0.08749999999999991,L,-0.19500000000000006,M,1
accident,-0.6125,L,-0.01750000000000007,H,2
accidental,-0.385,L,-0.25,M,1
acclaim,0.2749999999999999,M,-0.26249999999999996,M,4
accommodate,0.3374999999999999,H,-0.5,L,6
accommodation,0.43999999999999995,H,-0.07000000000000006,H,8
accompany,0.11749999999999994,M,-0.2875,M,4
accomplice,-0.10000000000000009,L,-0.125,H,2
accomplish,0.6125,H,0.040000000000000036,H,8
accomplishment,0.7625000000000002,H,-0.010000000000000009,H,8
accord,0.345,H,-0.5375,L,6
accordion,0.06499999999999995,L,-0.515,L,0
account,0.09749999999999992,L,-0.31000000000000005,M,1
accountability,-0.02750000000000008,L,-0.32499999999999996,M,1
accountable,0.17500000000000004,M,-0.19999999999999996,M,4
accountant,0.0475000000000001,L,-0.2975,M,1
accounting,-0.14500000000000002,L,-0.32999999999999996,M,1
accumulate,0.3325,M,-0.5675,L,3
accuracy,0.33000000000000007,M,-0.4175,L,3
accurate,0.605,H,-0.1625000000000001,M,7
accursed,-0.4475,L,0.08250000000000002,H,2
accusation,-0.405,L,0.1200000000000001,H,2
accuse,-0.58,L,0.08000000000000007,H,2
ace,0.3425,H,-0.09000000000000008,H,8
acetylene,-0.22249999999999992,L,-0.3325,M,1
ache,-0.4325,L,-0.17500000000000004,M,1
achieve,0.6875,H,-0.07499999999999996,H,8
achievement,0.5700000000000001,H,0.14250000000000007,H,8
achy,-0.4625,L,-0.1299999999999999,H,2
acid,-0.43500000000000005,L,-0.05750000000000011,H,2
acknowledge,0.35749999999999993,H,-0.43500000000000005,L,6
acknowledgement,0.38250000000000006,H,-0.42500000000000004,L,6
acne,-0.705,L,-0.13250000000000006,H,2
acorn,0.2124999999999999,M,-0.14500000000000002,H,5
acoustic,0.5249999999999999,H,-0.25,M,7
acoustics,0.3325,M,-0.4525,L,3
acquaintance,0.14500000000000002,M,-0.43999999999999995,L,3
acquire,0.125,M,-0.03499999999999992,H,5
acquisition,0.0,L,-0.15999999999999992,M,1
acquit,0.1499999999999999,M,-0.1100000000000001,H,5
acquittal,0.2975000000000001,M,-0.012499999999999956,H,5
acre,0.13250000000000006,M,-0.5675,L,3
acreage,0.0625,L,-0.31499999999999995,M,1
acrobat,0.25,M,-0.02499999999999991,H,5
acrylic,0.1299999999999999,M,-0.3175,M,4
act,0.15999999999999992,M,-0.2024999999999999,M,4
action,0.25,M,0.2975000000000001,H,5
action figure,0.29499999999999993,M,-0.08749999999999991,H,5
activate,0.17500000000000004,M,-0.30500000000000005,M,4
activation,0.2849999999999999,M,-0.37,L,3
active,0.36749999999999994,H,0.15500000000000003,H,8
activist,0.31000000000000005,M,0.06499999999999995,H,5
activity,0.3025,M,-0.03499999999999992,H,5
actor,0.2875000000000001,M,-0.1625000000000001,M,4
actress,0.10499999999999998,L,0.10749999999999993,H,2
actual,0.30499999999999994,M,-0.5625,L,3
actuality,0.10000000000000009,L,0.13749999999999996,H,2
acupuncture,-0.0475000000000001,L,-0.02499999999999991,H,2
acute,0.02499999999999991,L,0.022499999999999964,H,2
ad,-0.22249999999999992,L,-0.4175,L,0
adage,0.13749999999999996,M,-0.405,L,3
adamant,0.11250000000000004,M,0.18500000000000005,H,5
adapt,0.20999999999999996,M,-0.275,M,4
adaptation,0.20500000000000007,M,-0.36250000000000004,L,3
add,0.3075000000000001,M,-0.25,M,4
adder,-0.13749999999999996,L,-0.43999999999999995,L,0
addict,-0.535,L,0.08250000000000002,H,2
addicted,-0.5275,L,-0.05750000000000011,H,2
addiction,-0.37,L,-0.1299999999999999,H,2
addictive,-0.37,L,-0.04499999999999993,H,2
additional,0.2875000000000001,M,-0.34750000000000003,L,3
address,0.2775000000000001,M,-0.48750000000000004,L,3
adept,0.2849999999999999,M,-0.20750000000000002,M,4
adequate,-0.07499999999999996,L,-0.33999999999999997,L,0
adhere,0.04249999999999998,L,-0.37,L,0
adhesive,0.20999999999999996,M,-0.44999999999999996,L,3
Adidas,0.1924999999999999,M,-0.20500000000000007,M,4
adjacent,0.03750000000000009,L,-0.555,L,0
adjective,0.23750000000000004,M,-0.33999999999999997,L,3
adjoining,0.014999999999999902,L,-0.37,L,0
adjourn,0.125,M,-0.4625,L,3
adjust,0.18999999999999995,M,-0.5,L,3
adjuster,-0.1875,L,-0.375,L,0
adjustment,0.13250000000000006,M,-0.10250000000000004,H,5
admin,-0.15749999999999997,L,-0.33999999999999997,L,0
administer,-0.1499999999999999,L,-0.28500000000000003,M,1
administration,-0.13749999999999996,L,-0.4425,L,0
administrative,-0.05249999999999999,L,-0.4475,L,0
administrator,0.08000000000000007,L,-0.06499999999999995,H,2
admirable,0.5,H,-0.10749999999999993,H,8
admiral,-0.050000000000000044,L,-0.23750000000000004,M,1
admiralty,0.29000000000000004,M,-0.1825000000000001,M,4
admiration,0.645,H,0.1299999999999999,H,8
admire,0.5874999999999999,H,0.0,H,8
admired,0.5625,H,0.23750000000000004,H,8
admirer,0.5125,H,0.25,H,8
admissible,0.040000000000000036,L,-0.525,L,0
admission,0.22750000000000004,M,-0.3275,M,4
admit,0.1399999999999999,M,-0.4125,L,3
admittance,0.3225,M,-0.35,L,3
ado,-0.04499999999999993,L,-0.4175,L,0
adobe,0.0625,L,-0.27749999999999997,M,1
adolescence,0.25,M,0.02499999999999991,H,5
adolescent,0.09499999999999997,L,-0.19999999999999996,M,1
adopt,0.4750000000000001,H,-0.07250000000000001,H,8
adoption,0.41999999999999993,H,-0.04499999999999993,H,8
adoptive,0.16749999999999998,M,-0.1499999999999999,H,5
adorable,0.6000000000000001,H,-0.08499999999999996,H,8
adoration,0.36749999999999994,H,-0.15999999999999992,M,7
adore,0.5925,H,0.24,H,8
adoring,0.595,H,-0.03499999999999992,H,8
adrenalin,0.3325,M,0.012499999999999956,H,5
adrenaline,0.4025000000000001,H,0.23750000000000004,H,8
adrift,-0.15999999999999992,L,-0.4525,L,0
adult,0.2250000000000001,M,-0.15999999999999992,M,4
adulterer,-0.5575,L,0.16999999999999993,H,2
adultery,-0.5475,L,0.355,H,2
adulthood,0.012499999999999956,L,-0.17999999999999994,M,1
advance,0.2775000000000001,M,-0.09499999999999997,H,5
advanced,0.2849999999999999,M,-0.2925,M,4
advancement,0.6174999999999999,H,0.2024999999999999,H,8
advantage,0.4275,H,-0.26249999999999996,M,7
advantageous,0.4475,H,0.17500000000000004,H,8
adventure,0.6000000000000001,H,0.3400000000000001,H,8
adventurer,0.5,H,0.0674999999999999,H,8
adventurous,0.5925,H,0.4175,H,8
adversary,-0.11250000000000004,L,-0.14749999999999996,H,2
adverse,-0.32999999999999996,L,-0.27749999999999997,M,1
adversity,-0.18500000000000005,L,-0.29500000000000004,M,1
advertise,0.040000000000000036,L,-0.1775,M,1
advertisement,-0.17500000000000004,L,-0.21500000000000008,M,1
advertising,-0.08000000000000007,L,-0.4375,L,0
advice,0.19500000000000006,M,-0.48750000000000004,L,3
advisable,0.15500000000000003,M,-0.15999999999999992,M,4
advise,0.1100000000000001,L,-0.405,L,0
advisement,-0.11250000000000004,L,-0.24,M,1
adviser,0.16999999999999993,M,-0.41000000000000003,L,3
