Word,Polarity,Intensity,SubjectivityType,SubjectivityPolarity
가;있;었,POS,Medium,Argument,POS
가;되어야;지요,POS,Medium,Argument,POS
가;아;니,NEG,Medium,Judgment,NEG
가;아닌;가,NEG,High,Judgment,NEG
가;아닙니;다,NEG,Low,Argument,POS
가가;장;많이,NEG,Low,Judgment,NEG
가가;장;어렵,NEG,Medium,Judgment,NEG
가;그리;밝,NEG,Medium,Judgment,NEG
가;꺾;이,NEG,High,Emotion,NEG
가;꽤;맞,POS,High,Judgment,POS
가;넘;습니다,NEG,Low,Argument,POS
가;다르;게,NEUT,Medium,Judgment,POS
가;더욱;막중,COMP,Medium,Judgment,POS
가;돋아;나,NEG,Medium,Emotion,NEG
가;둘;로,NEUT,Medium,Argument,POS
가;많이;나오,POS,Low,Judgment,POS
가무;대;를,POS,Medium,Judgment,POS
가;바늘;에,NEG,Medium,Judgment,NEG
가;새;어,NEG,Medium,Judgment,NEG
가;생긴;다,POS,Medium,Argument,POS
가성;행;하,NEG,Medium,Judgment,NEG
가;아프;고,NEUT,Medium,Argument,POS
가;얼마나;오랜,POS,High,Judgment,POS
가;얼마나;종류,POS,Medium,Argument,POS
가;얼마나;좋,POS,Medium,Argument,POS
가;없잖;아,NEG,Medium,Judgment,NEG
가;울;리,NEUT,Medium,Argument,POS
가일;어;나,NEG,Medium,Judgment,NEG
가;있;나,POS,Low,Argument,POS
가;있;다,NEUT,Medium,Argument,POS
가;있;어,NEG,Medium,Argument,POS
가작;용;하,POS,Medium,Intention,POS
가차;단;되,NEG,High,Judgment,NEG
같아;익;이,POS,Medium,Argument,POS
가;특허;와,NEG,Medium,Argument,POS
가;하;라는,NEG,Medium,Argument,POS
가;힘;이,POS,Medium,Judgment,POS
가;았;다,NEG,Medium,Argument,POS
가;았;다가,NEG,Medium,Argument,POS
가격;의;절반,POS,Medium,Judgment,POS
가까이;초과;하,NEG,Low,Judgment,NEG
가깝;게;느끼,POS,Medium,Emotion,POS
가도;를;달리,POS,Medium,Judgment,POS
가르치;려면;공부,NEG,Low,Argument,POS
가리;지;않,POS,High,Judgment,POS
가스;가;새,NEG,Medium,Judgment,NEG
가슴;을;치밀,NEG,Medium,Argument,POS
가슴;이;떨리,COMP,Medium,Emotion,COMP
가슴;이;뛰,POS,High,Emotion,POS
가슴;이나;이빨,NEUT,Medium,Argument,POS
가장;고;독하,NEG,Medium,Judgment,NEG
가장;긍정;적,POS,High,Judgment,POS
가장;깜;찍,COMP,Medium,Judgment,POS
가장;내;용이,POS,Medium,Judgment,POS
가장;널리;알리,POS,Medium,Judgment,POS
가;장단;적,POS,High,Judgment,POS
가장;많이;발생,NEG,Low,Judgment,NEG
가장;먼저;필요,POS,High,Judgment,POS
가장;상식;적,POS,Medium,Judgment,POS
가장;성공;하,POS,Medium,Judgment,POS
가장;아름답;게,POS,High,Judgment,POS
가장;위협;하,NEG,High,Judgment,NEG
가장;인기;이,POS,High,Judgment,POS
가장;일관;되,POS,High,Judgment,POS
가장;전문가;집단,POS,Medium,Judgment,POS
가장;좋;아,POS,Medium,Emotion,POS
가장;친;근,POS,Medium,Argument,POS
가족;들;이,POS,Medium,Judgment,POS
가족;은;결코,POS,High,Intention,POS
가족;이;있,NEG,Medium,Argument,POS
가족;이;함께,POS,Medium,Judgment,POS
가족;하고;함께,NEG,Medium,Argument,POS
가지;가;넘,NEG,Low,Argument,POS
가지;단점;이,NEG,High,Judgment,NEG
가지어;다;놓,NEG,Medium,Argument,POS
가치;를;높이,POS,Medium,Judgment,POS
가치;체계;나,POS,Medium,Judgment,POS
가타;부타;아무런,NEUT,Low,Argument,NEUT
각국;의;보건,POS,Low,Argument,POS
각종;범죄;를,NEG,High,Judgment,NEG
간밤;의;긴박,POS,Medium,Argument,POS
간;주;하,NEG,Low,Judgment,NEG
간첩;등불;순,NEG,Medium,Judgment,NEG
갈피;를;못,NEG,Medium,Judgment,NEG
갈피;마다;에,POS,Medium,Judgment,POS
감;이;들,POS,Medium,Emotion,POS
감;이;없,NEG,Medium,Speculation,POS
감각;적;의지,NEG,Low,Judgment,NEG
감;내;하,NEG,High,Judgment,NEG
감독;과;영화,POS,Low,Argument,POS
감독;을;게을리,NEG,Medium,Argument,POS
감독;의;영화,NEG,Low,Argument,POS
감독;이;갑자기,NEUT,Low,Argument,POS
감독;이;미국,NEUT,Low,Argument,POS
감탄사;를;연발,POS,Medium,Emotion,POS
갑자기;호흡;이,NEUT,Medium,Argument,POS
값;으로;팔리,NEG,Medium,Argument,POS
강물;위;에,NEG,Medium,Argument,POS
강;조;하,POS,Medium,Argument,POS
갖지;못;하,NEG,Medium,Judgment,NEUT
갖가지;사회;적,NEG,Medium,Judgment,NEG
같이;붓;을,NEG,Low,Argument,POS
같;이비;판하,NEG,High,Judgment,NEG
같;이;하,POS,Low,Agreement,POS
개방;정책;이,NEG,Medium,Argument,POS
개인;적;견해,COMP,Medium,Judgment,COMP
개인;적;자유,POS,Low,Judgment,POS
개척;에;본격,POS,Medium,Argument,POS
개혁;등;을,POS,Medium,Judgment,POS
개혁;을;하,NEG,Medium,Judgment,NEG
객관;적;실상,NEG,Medium,Judgment,NEG
객관;화;시키,POS,Medium,Argument,POS
거나;가족;이,NEG,Medium,Argument,POS
거나;목소리;높이,POS,Medium,Judgment,POS
거나;의식;장애,NEUT,Medium,Argument,POS
거나;인터뷰;를,NEG,High,Judgment,NEG
거나;자;다,NEUT,Medium,Argument,POS
거나;포;기하,NEG,Medium,Judgment,NEG
거;느린;일직선,NEG,Medium,Judgment,NEG
거듭;말;하,NONE,None,Argument,POS
거리;를;유지,NEG,Low,Argument,POS
거리;낌;없이,POS,Medium,Emotion,POS
거의;거치;지,NEG,Medium,Judgment,NEG
거의;반;영하,NEG,High,Judgment,NEG
거치;지;않,NEG,Medium,Judgment,NEG
거푸집;속;에서,POS,Medium,Judgment,POS
거품;도;만들,POS,Medium,Judgment,POS
건;이상;교통,NEG,Medium,Judgment,NEG
건강;을;지키,POS,Medium,Judgment,POS
건강;이;좋,POS,Medium,Argument,POS
건물;형식;을,NEG,High,Argument,POS
건;수가;많,NEG,High,Argument,POS
건전;레;포츠,POS,Medium,Intention,POS
건축;도;하나,POS,Medium,Argument,POS
건축;창작;도,NEUT,Medium,Argument,POS
건축물;을;설계,NEG,High,Argument,POS
걸어;나;오,POS,Medium,Argument,POS
검사;등;으로,NEG,Medium,Argument,POS
검사;로;확인,NEG,Medium,Argument,POS
것;과;마찬가지,NEG,Medium,Judgment,NEG
것;과;생필품,POS,Low,Judgment,POS
것;도;그,NEG,Medium,Argument,POS
것;도;믿,NEG,High,Argument,POS
것;도아;니,NEG,Medium,Argument,POS
것;도;아마,POS,Medium,Argument,POS
것;도;있,NONE,None,Others,POS
것;들;을,POS,Medium,Argument,POS
것;때문;에,NEG,Medium,Argument,POS
것;로;기억,NEUT,Medium,Speculation,POS
것;보다;그동안,POS,Medium,Argument,POS
것;아닙니;까,NONE,None,Others,POS
것;으로;기대,POS,Medium,Speculation,POS
것;으로;단맛,POS,Medium,Argument,POS
것;으로;여기,POS,Medium,Judgment,POS
것;으로;추정,POS,Medium,Speculation,POS
것;으로;풀이,NEG,High,Argument,POS
것;은;아니,NEG,Medium,Argument,POS
것;은;자아,POS,Medium,Argument,POS
것;을;깨닫,NEG,Medium,Argument,POS
것;을;돈,NEG,Medium,Argument,POS
것;을;만들,NEUT,Low,Argument,POS
것;을;요구,NEG,Medium,Argument,POS
것;을;확인,POS,Medium,Argument,POS
것;이아;니,POS,High,Judgment,POS
것;이;국기,NEG,Medium,Argument,POS
것;이;더,POS,Medium,Argument,POS
것;이;도움,POS,Medium,Argument,POS
것;이;뭐,POS,Medium,Argument,POS
것;이;사실,POS,Medium,Argument,POS
것;이;얼마나,NEG,Medium,Argument,POS
것;이;없,NEG,Medium,Judgment,NEG
것;이;힘들,NEG,Low,Argument,POS
것;일;까,NONE,None,Others,POS
것;입니;다,NEUT,Medium,Argument,POS
것;처럼;보이,POS,Low,Judgment,POS
게;결심;을,NEG,Medium,Argument,POS
게;굳;지,POS,Low,Judgment,POS
게;기회;를,POS,Medium,Argument,POS
게;내다보;이,NEG,Medium,Speculation,POS
게;다르;아,POS,High,Judgment,POS
게;다르;지,NEG,Low,Judgment,NEG
게;도;바라,POS,High,Intention,POS
게;될;까,COMP,Medium,Speculation,POS
게;되;도록,POS,Medium,Argument,POS
게;따지;어,POS,Medium,Judgment,POS
게;뜨겁;어,NEUT,Medium,Judgment,POS
게;마련;이,NEUT,Medium,Speculation,POS
게;만;보이,NEG,Medium,Argument,POS
게;말;하,POS,Medium,Argument,POS
게;발흥;하,POS,Medium,Judgment,POS
게;성;취하,POS,High,Judgment,POS
게시;작;하,POS,Medium,Argument,POS
게;옥살이;를,POS,Medium,Intention,POS
게;위협;받,NEG,High,Judgment,NEG
게;의;지하,POS,Medium,Agreement,POS
게;좋;아,POS,High,Judgment,POS
게;주례;를,POS,Medium,Argument,POS
게;참여;하,POS,Medium,Judgment,POS
게;철학;이야기,POS,Medium,Argument,POS
게;행복;을,POS,High,Judgment,POS
게양;률;을,NEG,Medium,Argument,POS
게;을;리하,NEG,Medium,Argument,POS
게임;의;법칙,POS,Medium,Judgment,POS
겠느;냐고;못,NEG,Medium,Argument,POS
겠느;냐고;스스로,POS,Medium,Argument,POS
겠다;고;마음먹,NEUT,Low,Argument,POS
겠다;고;생각,NEG,Low,Argument,POS
겠다;고;팔,NEG,Medium,Argument,POS
겠다;는;꿈,POS,Medium,Argument,POS
겠다;는;뜻,POS,Medium,Intention,POS
겠다;는;생각,NEG,Low,Argument,POS
격려;하;았,POS,Medium,Argument,POS
격차;해소;노력,POS,Low,Argument,POS
견해;를;밝히,COMP,Medium,Judgment,POS
결단;을;두,NEG,High,Judgment,NEG
결론;을;내리,POS,Medium,Argument,POS
결여;의;표상,NEG,Low,Argument,POS
결정;을;받,NEG,Medium,Judgment,NEG
결정;적;단서,COMP,Medium,Judgment,POS
결;집;하,POS,Medium,Judgment,POS
결코;쓰러지;지,POS,High,Intention,POS
결함;이;있,NEG,Medium,Judgment,NEG
결혼;도세;상,NEG,High,Argument,POS
결혼;에;대하,POS,Medium,Judgment,POS
결혼;을;꿈꾸,NEG,Medium,Argument,POS
결혼;전;에,NEUT,Low,Argument,POS
결혼식;에서;로,POS,Medium,Argument,POS
경;각심;이,NEG,High,Judgment,NEG
경우;가;적,NEG,Medium,Judgment,NEG
경쟁;이;치열,POS,Medium,Judgment,POS
경제;적;궁핍,NEG,Medium,Emotion,NEG
경제;제재;를,POS,Medium,Argument,POS
경제력;이;있,POS,Medium,Judgment,POS
경지;의;예술,NEG,Medium,Argument,POS
경향;을;약화,POS,Medium,Judgment,POS
경향;이;있,NEG,Medium,Speculation,POS
경험;을;공유,POS,Medium,Judgment,POS
경험;이비;슷,POS,Low,Argument,POS
곁;을;떠나,POS,Medium,Argument,POS
곁;들;이,NEUT,Medium,Argument,POS
계;가;주장,POS,Medium,Argument,POS
계;에서;잔뼈,POS,Medium,Judgment,POS
계;최대;의,POS,Medium,Judgment,POS
계기;가;되,POS,Medium,Judgment,POS
계기;로;국내,POS,Medium,Argument,POS
계속;정체;상태,NEG,High,Judgment,NEG
계통;의;질환,NEUT,Medium,Argument,POS
계획;을;발표,POS,Medium,Argument,POS
계획;을;세우,POS,Medium,Intention,POS
계획;을;잡,POS,Medium,Intention,POS
고견;디어;라,POS,Medium,Intention,POS
고;괴로워;하,NEG,High,Judgment,NEG
고;그동안;이루,POS,Medium,Argument,POS
고;나;니까,POS,Medium,Argument,POS
고;나;가,POS,Medium,Intention,POS
고;나;서,POS,Medium,Intention,POS
고;나;오,COMP,Medium,Argument,POS
고;나중;에,POS,Medium,Argument,POS
고;는;혀,NEG,Medium,Argument,POS
고;다가가려;고,POS,Medium,Argument,POS
고;또는;공짜,POS,Medium,Judgment,POS
고;만;보,NEG,High,Judgment,NEG
고;면허;를,POS,Low,Argument,POS
고;몸살;을,POS,Medium,Argument,POS
고;믿으;시,NEG,Low,Judgment,NEG
고;사느;라,NEG,Medium,Argument,POS
고수;미산;을,POS,High,Judgment,POS
고;싶;다는,NEG,Low,Argument,POS
고;싶;습니다,POS,Medium,Argument,POS
고;싶;어,POS,Medium,Intention,POS
고;싶;어요,POS,Medium,Argument,POS
고;싶;었,NEG,Medium,Argument,POS
고;싶;은,POS,Medium,Emotion,POS
고;약혼;까지,NEG,High,Emotion,NEG
고;얼마나;오랜,NEG,High,Judgment,NEG
고;예술;적,POS,Medium,Judgment,POS
고;오;았,NEUT,Low,Argument,POS
고;외롭;었,POS,Medium,Argument,POS
고;욕망;을,NEG,Low,Argument,POS
고;울;리,POS,Medium,Judgment,POS
고;있;는,NEUT,Medium,Argument,POS
고;있;는데,NEUT,Low,Argument,POS
고;있;다,NEG,Medium,Argument,POS
고;있;습니다,NEUT,Medium,Argument,POS
고;있;었,NEUT,Medium,Judgment,POS
고;자랄;까,NEUT,Low,Argument,POS
고;존재;이유,POS,Medium,Argument,POS
고;좋;은,POS,Low,Argument,POS
고;해외;시장,POS,Medium,Argument,POS
고;화장실;을,NEUT,Medium,Argument,POS
고;휴식;참,NEG,Medium,Argument,POS
고;강조;하,POS,High,Argument,POS
고;기뻐;하,POS,Medium,Emotion,POS
고;다짐;하,POS,High,Intention,POS
고;답;변하,POS,Medium,Argument,POS
고;답;하,POS,Low,Argument,POS
고;말;하,NEUT,Medium,Argument,POS
고정;의;하,NEUT,Medium,Argument,POS
고;주;장하,NEG,Medium,Argument,POS
고통;첩;하,NEG,Medium,Argument,POS
고;평가;하,NEG,Medium,Judgment,NEG
고;품질;유지,POS,Medium,Judgment,POS
고개;를;끄덕이,POS,Medium,Agreement,POS
고객;들;에게,POS,Medium,Argument,POS
고구려;벽화;를,POS,Medium,Judgment,POS
고기;와;생선,NEUT,Medium,Argument,POS
고도;를;떠나,COMP,Medium,Argument,POS
고리타;분;하,NEG,Medium,Argument,POS
고리타;분;하게,NEG,Medium,Argument,POS
고립무원;속;에서,NEG,Medium,Judgment,NEG
고마움;을;전하,POS,Medium,Emotion,POS
고무;적;이,POS,High,Judgment,POS
고민;에;도움,POS,Medium,Judgment,POS
고발;건;수가,NEG,High,Argument,POS
고백;하;건대,NONE,None,Others,POS
고비;를;넘기,POS,Medium,Argument,POS
고삐;가;풀리,NEG,Medium,Judgment,NEG
고액;과외;는,POS,Low,Judgment,POS
고유;건축;양식,POS,Medium,Judgment,POS
고;육지;책,NEG,Medium,Judgment,NEG
고질;적;문제,NEG,Medium,Judgment,NEG
고질;화;되,NEG,High,Judgment,NEG
고;집;하,NEUT,Medium,Judgment,NEUT
고충;을;덜,POS,Medium,Judgment,POS
고층;아파트;숲,NEG,Medium,Judgment,NEG
고통;을;겪,NEG,Medium,Judgment,NEG
고통;을;주,NEG,Medium,Judgment,NEG
고통;이;생기,NEG,Medium,Judgment,NEG
곡;이;흐르,NEG,Medium,Argument,POS
곧;파멸;직전,NEG,Medium,Argument,POS
골;이;점점,NEG,Medium,Argument,POS
곳;에;어떤,COMP,Medium,Speculation,POS
곳;에서;항상,POS,Medium,Argument,POS
곳;을;넘어서,NEUT,Medium,Judgment,POS
공간;이;전시장,POS,Medium,Judgment,POS
공감;과;통찰,POS,Medium,Judgment,POS
공;감;하,POS,Medium,Agreement,POS
공감;대;바탕,POS,Medium,Argument,POS
공기;가;얼마나,POS,Medium,Argument,POS
공백;을;메우,POS,Medium,Judgment,POS
공백;이;생기,NEG,Low,Judgment,NEG
공부;를;더,NEG,Low,Argument,POS
공산;은;크,NEG,High,Speculation,POS
공식;입장;이,NEG,High,Argument,POS
공식;협의;를,NEG,Medium,Judgment,NEG
공연;물;로,POS,Medium,Judgment,POS
공장;공장장;님,NEG,Medium,Argument,POS
공장;장님;들,NEG,Medium,Argument,POS
공존;의;길,POS,Medium,Argument,POS
공포;로부터;자유,NEG,Medium,Argument,POS
공포;와;암흑,POS,Medium,Argument,POS
과;공식;협의,NEG,Medium,Judgment,NEG
과;영화;와,POS,Medium,Argument,POS
과;결혼;에,POS,Medium,Judgment,POS
과;경험;을,POS,Medium,Judgment,POS
과;고통;이,NEG,Medium,Judgment,NEG
과;그;주변,POS,Low,Argument,POS
과;나비;와,NEUT,Low,Argument,POS
과;마음;을,POS,Medium,Judgment,POS
과;미국;보다,POS,Medium,Judgment,POS
과;생물;해적,NEG,Medium,Argument,POS
과;약간;의,COMP,Low,Emotion,COMP
과;예술;의,POS,Medium,Judgment,POS
과;유치원;어린이,POS,Medium,Judgment,POS
과;절대;주의,POS,Medium,Judgment,POS
과죄;의식;의,NEG,Medium,Judgment,NEG
과;지방;을,NEG,Medium,Judgment,NEG
과;축소;형,POS,High,Judgment,POS
과;카메라;에,POS,Medium,Argument,POS
과;통찰;의,POS,Medium,Judgment,POS
과;폭행;의,NEG,Medium,Judgment,NEG
과;하늘;을,NEG,Medium,Judgment,NEG
과;한과;가,POS,Medium,Argument,POS
과;관계;가,NEUT,Medium,Argument,POS
과;달리;튀,POS,Medium,Judgment,POS
과대;비;되,POS,Medium,Judgment,POS
과;마찬가지;이,NEG,Medium,Judgment,NEG
과;영화;에,POS,Low,Argument,POS
과;함께;살,POS,Medium,Judgment,POS
과;감;하,POS,Medium,Judgment,POS
과거;는;제치,POS,Medium,Argument,POS
과거;로;들어가,POS,Medium,Argument,POS
과거;의;아픔,NEG,Low,Judgment,NEG
과;다;업무,NEG,Medium,Judgment,NEG
과반수;의;석,NEG,Medium,Judgment,NEG
과연;무엇;이,COMP,Medium,Speculation,POS
과열;과외;나,POS,Low,Judgment,POS
과외;나;고액,POS,Low,Judgment,POS
과외;는;없,POS,Low,Judgment,POS
과욕;이;앞서,NEG,Medium,Judgment,NEG
과제;가;있,POS,Medium,Argument,POS
과제;로;남,NEG,Medium,Judgment,NEG
관객;들;의,POS,Medium,Judgment,POS
관객;을;놓,NEG,Medium,Judgment,NEG
관계;가;없,NEG,Low,Judgment,NEG
관계;가;있,NEUT,Medium,Argument,POS
관계;는;없,NEG,Medium,Judgment,NEG
관계;에;아무런,NEG,High,Judgment,NEG
관계자;들;과,NEG,Medium,Judgment,NEG
관광;교;역전,POS,Medium,Judgment,POS
관광객;이편;중,NEUT,Low,Argument,POS
관람객;을;끌어당기,POS,Medium,Judgment,POS
관심;을;갖,POS,Medium,Judgment,POS
관심;을;기울이,NEG,High,Judgment,NEG
관심;을;끌,POS,Medium,Judgment,POS
관심;을;모으,POS,Medium,Judgment,POS
관심;을;쏟,POS,High,Judgment,POS
관심;이;고조,POS,Medium,Judgment,POS
관심;이;높,POS,High,Emotion,POS
관심;이;모으,POS,Medium,Emotion,POS
관심;이;없,NEG,Low,Judgment,NEG
관심;이;외국,NEG,High,Judgment,NEG
관심;거리;이,POS,Medium,Others,POS
관;여;하,NEUT,Low,Argument,POS
관점;에;서재,COMP,Medium,Judgment,COMP
광복;열망;적도,POS,Medium,Argument,POS
괴로워;하;았,NEG,High,Judgment,NEG
교류;를;단절,NEG,Low,Emotion,NEG
교;역전;으로,POS,Medium,Judgment,POS
교;역전;으로는,POS,Medium,Judgment,POS
교육;받는;다면,POS,Low,Argument,POS
교육;을;제대로,NEG,Medium,Argument,POS
교포;에;살인,NEG,Medium,Argument,POS
교환;전;을,POS,Medium,Argument,POS
교훈;을;주,POS,Medium,Judgment,POS
교훈;을;주입,NEG,Low,Judgment,NEG
구별;이;가,POS,Medium,Argument,POS
구석;이;많,POS,Medium,Judgment,POS
구설수;가;들,NEG,High,Judgment,NEG
구실;을;하,NONE,None,Others,POS
구애;받;을,POS,Low,Judgment,POS
구체;적;으로,POS,Medium,Judgment,POS
구태;를;재연,NEG,Medium,Judgment,NEG
국가;와;사회,NEG,High,Judgment,POS
국군;은;비키,NEG,Medium,Argument,POS
국기;게양;률,NEG,Medium,Argument,POS
국내;기반;을,POS,Medium,Argument,POS
국내;이벤트;이,POS,Medium,Judgment,POS
국내;최;장,POS,Medium,Judgment,POS
국내;최대;규모,POS,Medium,Judgment,POS
국내;최초;로,POS,Medium,Judgment,POS
국민;기업;이,POS,High,Judgment,POS
국민;기업;정부,POS,Medium,Judgment,POS
